"Date","Price","Open","High","Low","Vol.","Change %"
"11/25/2024","2,905.341","3,018.828","3,019.785","2,900.688","","-3.78%"
"11/22/2024","3,019.618","2,963.336","3,019.618","2,963.141","","1.90%"
"11/21/2024","2,963.414","2,941.098","2,967.252","2,938.616","","0.76%"
"11/20/2024","2,940.974","2,923.241","2,941.854","2,901.581","","0.62%"
"11/19/2024","2,922.964","2,904.268","2,931.981","2,902.812","","0.64%"
"11/18/2024","2,904.343","2,846.187","2,910.151","2,845.347","","2.36%"
"11/15/2024","2,837.499","2,848.582","2,851.029","2,827.470","","-0.19%"
"11/14/2024","2,842.970","2,839.829","2,863.360","2,803.039","","0.10%"
"11/13/2024","2,840.029","2,873.181","2,892.643","2,838.017","","-1.13%"
"11/12/2024","2,872.468","2,896.410","2,900.995","2,860.853","","-0.83%"
"11/11/2024","2,896.484","2,967.369","2,968.232","2,882.118","","-2.34%"
"11/08/2024","2,965.855","2,990.365","2,993.810","2,959.417","","-0.81%"
"11/07/2024","2,990.140","2,929.733","2,991.671","2,910.523","","2.07%"
"11/06/2024","2,929.464","3,027.867","3,032.620","2,918.889","","-3.23%"
"11/05/2024","3,027.162","3,021.864","3,036.581","3,014.046","","0.17%"
"11/04/2024","3,022.082","3,023.682","3,034.230","3,013.771","","0.07%"
"11/01/2024","3,020.001","3,028.985","3,048.516","3,017.741","","-0.31%"
"10/31/2024","3,029.244","3,070.868","3,075.409","3,008.788","","-1.35%"
"10/30/2024","3,070.637","3,058.463","3,075.729","3,050.160","","0.40%"
"10/29/2024","3,058.451","3,025.752","3,059.258","3,024.745","","1.09%"
"10/28/2024","3,025.426","3,016.293","3,026.661","3,004.922","","-0.18%"
"10/25/2024","3,030.884","3,014.158","3,030.884","2,990.670","","0.56%"
"10/24/2024","3,014.110","2,998.538","3,020.010","2,995.880","","0.51%"
"10/23/2024","2,998.864","3,024.997","3,037.848","2,987.580","","-0.87%"
"10/22/2024","3,025.065","2,996.448","3,027.577","2,995.523","","0.95%"
"10/21/2024","2,996.482","3,001.294","3,019.088","2,988.520","","-0.04%"
"10/18/2024","2,997.614","2,961.498","2,998.561","2,960.057","","1.21%"
"10/17/2024","2,961.750","2,938.167","2,962.293","2,936.342","","0.81%"
"10/16/2024","2,937.830","2,928.539","2,952.296","2,926.448","","0.31%"
"10/15/2024","2,928.717","2,919.187","2,936.805","2,907.014","","0.32%"
"10/14/2024","2,919.330","2,918.738","2,938.460","2,910.613","","-0.33%"
"10/11/2024","2,928.963","2,901.712","2,934.103","2,895.584","","0.95%"
"10/10/2024","2,901.351","2,873.485","2,902.884","2,868.793","","0.97%"
"10/09/2024","2,873.485","2,888.555","2,891.351","2,866.350","","-0.53%"
"10/08/2024","2,888.933","2,912.276","2,923.498","2,870.234","","-0.80%"
"10/07/2024","2,912.276","2,920.369","2,928.741","2,904.980","","-0.35%"
"10/04/2024","2,922.517","2,923.420","2,939.184","2,899.988","","-0.03%"
"10/03/2024","2,923.420","2,928.081","2,930.254","2,898.102","","-0.17%"
"10/02/2024","2,928.264","2,924.128","2,929.172","2,906.877","","0.13%"
"10/01/2024","2,924.486","2,898.911","2,940.042","2,893.303","","0.89%"
"09/30/2024","2,898.606","2,926.376","2,929.240","2,886.504","","-0.73%"
"09/27/2024","2,919.910","2,936.936","2,937.445","2,904.211","","-0.58%"
"09/26/2024","2,936.936","2,918.543","2,949.528","2,915.482","","0.61%"
"09/25/2024","2,919.021","2,915.129","2,930.235","2,908.806","","0.12%"
"09/24/2024","2,915.604","2,884.032","2,923.264","2,878.528","","1.10%"
